id,week,week_title,category,section,listed_in,reading_type,title,authors,year,source,publication_date_raw,volume,issue,pages,doi,doi_url,url,citation,notes,source_file
w01-u-001,1,"Critiques, quality initiatives and competency frameworks",uni_provided_core,Critiques,university_course_reading_list,Document,Does Humanitarian Aid Prolong Wars?,"Anthony, A",2010,,2010,2017.0,,,,,http://www.theguardian.com/society/2010/apr/25/humanitarian-aid-war-linda-polman,"Anthony, A (2010) Does Humanitarian Aid Prolong Wars?. Document Available at: http://www.theguardian.com/society/2010/apr/25/humanitarian-aid-war-linda-polman",,Full-reading-list-leadership-management-in-health-humanitarianism.csv
w01-u-002,1,"Critiques, quality initiatives and competency frameworks",uni_provided_core,Critiques,university_course_reading_list,Website,Is it time to rethink the divide between humanitarian and development funding?,"Anyangwe, E",,,,,,,,,https://www.theguardian.com/global-development-professionals-network/2015/dec/04/funding-humanitarian-assistance-development-aid,"Anyangwe, E Is it time to rethink the divide between humanitarian and development funding?. Website Available at: https://www.theguardian.com/global-development-professionals-network/2015/dec/04/funding-humanitarian-assistance-development-aid",,Full-reading-list-leadership-management-in-health-humanitarianism.csv
w01-u-003,1,"Critiques, quality initiatives and competency frameworks",uni_provided_core,Critiques,university_course_reading_list,Website,“A Critic At Large - Alms Dealers - Can you provide humanitarian aid without facilitating conflicts?,"Gourevitch, Philip",,New  Yorker,4-Oct-10,2017.0,,1 online resource,,,https://interagencystandingcommittee.org/system/files/legacy_files/Gourevitch-Critic-Alms%20Dealers-Oct2010.pdf,"Gourevitch, Philip “A Critic At Large - Alms Dealers - Can you provide humanitarian aid without facilitating conflicts?. Website New  Yorker, 2017.0, pp. 1 online resource Available at: https://interagencystandingcommittee.org/system/files/legacy_files/Gourevitch-Critic-Alms%20Dealers-Oct2010.pdf",Some issues bear also thematic titles.,Full-reading-list-leadership-management-in-health-humanitarianism.csv
w01-u-004,1,"Critiques, quality initiatives and competency frameworks",uni_provided_core,Critiques,university_course_reading_list,Article,A Review of Competencies Developed for Disaster Healthcare Providers: Limitations of Current Processes and Applicability,"Daily, Elaine; Padjen, Patricia; Birnbaum, Marvin",2010,Prehospital and disaster medicine,2010-10,25.0,5,387-395,10.1017/S1049023X00008438,https://doi.org/10.1017/S1049023X00008438,https://eu.alma.exlibrisgroup.com/view/uresolver/44MAN_INST/openurl?ctx_enc=info:ofi/enc:UTF-8&ctx_id=10_1&ctx_tim=2021-11-20+11:04:53&ctx_ver=Z39.88-2004&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&url_ver=Z39.88-2004&rfr_id=info:sid/primo.exlibrisgroup.com-proquest_pubme&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=article&rft.atitle=A+Review+of+Competencies+Developed+for+Disaster+Healthcare+Providers%3A+Limitations+of+Current+Processes+and+Applicability&rft.jtitle=Prehospital+and+disaster+medicine&rft.au=Daily%2C+Elaine&rft.date=2010-10&rft.volume=25&rft.issue=5&rft.spage=387&rft.epage=395&rft.pages=387-395&rft.issn=1049-023X&rft.eissn=1945-1938&rft_id=info:doi/10.1017%2FS1049023X00008438&rft.pub=Cambridge+University+Press&rft.place=New+York%2C+USA&rft.stitle=PREHOSP+DISASTER+MED&rft_id=info:pmid/21053183&rft_dat=<proquest_pubme>762686286</proquest_pubme>&svc_dat=viewit,"Daily, Elaine ; Padjen, Patricia ; Birnbaum, Marvin (2010) A Review of Competencies Developed for Disaster Healthcare Providers: Limitations of Current Processes and Applicability. Article Prehospital and disaster medicine, 25.0(5), pp. 387-395 doi:10.1017/S1049023X00008438 Available at: https://eu.alma.exlibrisgroup.com/view/uresolver/44MAN_INST/openurl?ctx_enc=info:ofi/enc:UTF-8&ctx_id=10_1&ctx_tim=2021-11-20+11:04:53&ctx_ver=Z39.88-2004&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&url_ver=Z39.88-2004&rfr_id=info:sid/primo.exlibrisgroup.com-proquest_pubme&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=article&rft.atitle=A+Review+of+Competencies+Developed+for+Disaster+Healthcare+Providers%3A+Limitations+of+Current+Processes+and+Applicability&rft.jtitle=Prehospital+and+disaster+medicine&rft.au=Daily%2C+Elaine&rft.date=2010-10&rft.volume=25&rft.issue=5&rft.spage=387&rft.epage=395&rft.pages=387-395&rft.issn=1049-023X&rft.eissn=1945-1938&rft_id=info:doi/10.1017%2FS1049023X00008438&rft.pub=Cambridge+University+Press&rft.place=New+York%2C+USA&rft.stitle=PREHOSP+DISASTER+MED&rft_id=info:pmid/21053183&rft_dat=<proquest_pubme>762686286</proquest_pubme>&svc_dat=viewit",,Full-reading-list-leadership-management-in-health-humanitarianism.csv
w01-u-005,1,"Critiques, quality initiatives and competency frameworks",uni_provided_core,Critiques,university_course_reading_list,Article,The far side: the meta functions of humanitarianism in a globalised world,"Donini, Antonio",2010,Disasters,2010-04,34.0,s2,S220-S237,10.1111/j.1467-7717.2010.01155.x,https://doi.org/10.1111/j.1467-7717.2010.01155.x,https://eu.alma.exlibrisgroup.com/view/uresolver/44MAN_INST/openurl?ctx_enc=info:ofi/enc:UTF-8&ctx_id=10_1&ctx_tim=2021-11-20+11:08:59&ctx_ver=Z39.88-2004&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&url_ver=Z39.88-2004&rfr_id=info:sid/primo.exlibrisgroup.com-gale_proqu&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=article&rft.atitle=The+far+side%3A+the+meta+functions+of+humanitarianism+in+a+globalised+world&rft.jtitle=Disasters&rft.au=Donini%2C+Antonio&rft.date=2010-04&rft.volume=34&rft.issue=s2&rft.spage=S220&rft.epage=S237&rft.pages=S220-S237&rft.issn=0361-3666&rft.eissn=1467-7717&rft.coden=DISADE&rft_id=info:doi/10.1111%2Fj.1467-7717.2010.01155.x&rft.pub=Blackwell+Publishing+Ltd&rft.place=Oxford%2C+UK&rft.stitle=DISASTERS&rft_id=info:pmid/20132266&rft_dat=<gale_proqu>60344637</gale_proqu>&svc_dat=viewit&rft_galeid=A220887993,"Donini, Antonio (2010) The far side: the meta functions of humanitarianism in a globalised world. Article Disasters, 34.0(s2), pp. S220-S237 doi:10.1111/j.1467-7717.2010.01155.x Available at: https://eu.alma.exlibrisgroup.com/view/uresolver/44MAN_INST/openurl?ctx_enc=info:ofi/enc:UTF-8&ctx_id=10_1&ctx_tim=2021-11-20+11:08:59&ctx_ver=Z39.88-2004&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&url_ver=Z39.88-2004&rfr_id=info:sid/primo.exlibrisgroup.com-gale_proqu&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=article&rft.atitle=The+far+side%3A+the+meta+functions+of+humanitarianism+in+a+globalised+world&rft.jtitle=Disasters&rft.au=Donini%2C+Antonio&rft.date=2010-04&rft.volume=34&rft.issue=s2&rft.spage=S220&rft.epage=S237&rft.pages=S220-S237&rft.issn=0361-3666&rft.eissn=1467-7717&rft.coden=DISADE&rft_id=info:doi/10.1111%2Fj.1467-7717.2010.01155.x&rft.pub=Blackwell+Publishing+Ltd&rft.place=Oxford%2C+UK&rft.stitle=DISASTERS&rft_id=info:pmid/20132266&rft_dat=<gale_proqu>60344637</gale_proqu>&svc_dat=viewit&rft_galeid=A220887993",This paper expands on Donini (2008).,Full-reading-list-leadership-management-in-health-humanitarianism.csv
w01-u-006,1,"Critiques, quality initiatives and competency frameworks",uni_provided_core,Critiques,university_course_reading_list,Article,The Competency of Competencies,"Hein, Karen",2010,Prehospital and disaster medicine,2010-10,25.0,5,396-397,10.1017/S1049023X0000844X,https://doi.org/10.1017/S1049023X0000844X,https://eu.alma.exlibrisgroup.com/view/uresolver/44MAN_INST/openurl?ctx_enc=info:ofi/enc:UTF-8&ctx_id=10_1&ctx_tim=2021-11-20+11:10:06&ctx_ver=Z39.88-2004&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&url_ver=Z39.88-2004&rfr_id=info:sid/primo.exlibrisgroup.com-proquest_cross&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=article&rft.atitle=The+Competency+of+Competencies&rft.jtitle=Prehospital+and+disaster+medicine&rft.au=Hein%2C+Karen&rft.date=2010-10&rft.volume=25&rft.issue=5&rft.spage=396&rft.epage=397&rft.pages=396-397&rft.issn=1049-023X&rft.eissn=1945-1938&rft_id=info:doi/10.1017%2FS1049023X0000844X&rft.pub=Cambridge+University+Press&rft.place=New+York%2C+USA&rft.stitle=PREHOSP+DISASTER+MED&rft_id=info:pmid/21053184&rft_dat=<proquest_cross>762687750</proquest_cross>&svc_dat=viewit,"Hein, Karen (2010) The Competency of Competencies. Article Prehospital and disaster medicine, 25.0(5), pp. 396-397 doi:10.1017/S1049023X0000844X Available at: https://eu.alma.exlibrisgroup.com/view/uresolver/44MAN_INST/openurl?ctx_enc=info:ofi/enc:UTF-8&ctx_id=10_1&ctx_tim=2021-11-20+11:10:06&ctx_ver=Z39.88-2004&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&url_ver=Z39.88-2004&rfr_id=info:sid/primo.exlibrisgroup.com-proquest_cross&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=article&rft.atitle=The+Competency+of+Competencies&rft.jtitle=Prehospital+and+disaster+medicine&rft.au=Hein%2C+Karen&rft.date=2010-10&rft.volume=25&rft.issue=5&rft.spage=396&rft.epage=397&rft.pages=396-397&rft.issn=1049-023X&rft.eissn=1945-1938&rft_id=info:doi/10.1017%2FS1049023X0000844X&rft.pub=Cambridge+University+Press&rft.place=New+York%2C+USA&rft.stitle=PREHOSP+DISASTER+MED&rft_id=info:pmid/21053184&rft_dat=<proquest_cross>762687750</proquest_cross>&svc_dat=viewit",,Full-reading-list-leadership-management-in-health-humanitarianism.csv
w01-u-007,1,"Critiques, quality initiatives and competency frameworks",uni_provided_core,Critiques,university_course_reading_list,Article,Proliferating Principles; Or How to Sup with the Devil without Getting Eaten,"Leader, Nicholas",1998,Disasters,1998-12,22.0,4,288-308,10.1111/1467-7717.00093,https://doi.org/10.1111/1467-7717.00093,https://eu.alma.exlibrisgroup.com/view/uresolver/44MAN_INST/openurl?ctx_enc=info:ofi/enc:UTF-8&ctx_id=10_1&ctx_tim=2021-11-20+11:11:00&ctx_ver=Z39.88-2004&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&url_ver=Z39.88-2004&rfr_id=info:sid/primo.exlibrisgroup.com-proquest_cross&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=article&rft.atitle=Proliferating+Principles%3B+Or+How+to+Sup+with+the+Devil+without+Getting+Eaten&rft.jtitle=Disasters&rft.au=Leader%2C+Nicholas&rft.date=1998-12&rft.volume=22&rft.issue=4&rft.spage=288&rft.epage=308&rft.pages=288-308&rft.issn=0361-3666&rft.eissn=1467-7717&rft.coden=DISADE&rft_id=info:doi/10.1111%2F1467-7717.00093&rft.pub=Blackwell+Publishers+Ltd&rft.place=Oxford%2C+UK+and+Boston%2C+USA&rft_id=info:pmid/9874895&rft_dat=<proquest_cross>69115737</proquest_cross>&svc_dat=viewit,"Leader, Nicholas (1998) Proliferating Principles; Or How to Sup with the Devil without Getting Eaten. Article Disasters, 22.0(4), pp. 288-308 doi:10.1111/1467-7717.00093 Available at: https://eu.alma.exlibrisgroup.com/view/uresolver/44MAN_INST/openurl?ctx_enc=info:ofi/enc:UTF-8&ctx_id=10_1&ctx_tim=2021-11-20+11:11:00&ctx_ver=Z39.88-2004&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&url_ver=Z39.88-2004&rfr_id=info:sid/primo.exlibrisgroup.com-proquest_cross&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=article&rft.atitle=Proliferating+Principles%3B+Or+How+to+Sup+with+the+Devil+without+Getting+Eaten&rft.jtitle=Disasters&rft.au=Leader%2C+Nicholas&rft.date=1998-12&rft.volume=22&rft.issue=4&rft.spage=288&rft.epage=308&rft.pages=288-308&rft.issn=0361-3666&rft.eissn=1467-7717&rft.coden=DISADE&rft_id=info:doi/10.1111%2F1467-7717.00093&rft.pub=Blackwell+Publishers+Ltd&rft.place=Oxford%2C+UK+and+Boston%2C+USA&rft_id=info:pmid/9874895&rft_dat=<proquest_cross>69115737</proquest_cross>&svc_dat=viewit",,Full-reading-list-leadership-management-in-health-humanitarianism.csv
w01-u-008,1,"Critiques, quality initiatives and competency frameworks",uni_provided_core,Quality Initiatives,university_course_reading_list,Website,CERAH/ELRHA Conference on humanitarian education and training In focus : Articulating an agenda for humanitarian education and training,O'Dempsey,,,,,,,,,https://reliefweb.int/sites/reliefweb.int/files/resources/Thematic%2520Paper%2520Three.pdf,O'Dempsey CERAH/ELRHA Conference on humanitarian education and training In focus : Articulating an agenda for humanitarian education and training. Website Available at: https://reliefweb.int/sites/reliefweb.int/files/resources/Thematic%2520Paper%2520Three.pdf,,Full-reading-list-leadership-management-in-health-humanitarianism.csv
w01-u-009,1,"Critiques, quality initiatives and competency frameworks",uni_provided_core,Quality Initiatives,university_course_reading_list,Website,Tools for knowledge and learning: A guide for development and humanitarian organizations,"Ramalingham, Ben",2006,,2006,,,,,,https://odi.org/en/publications/tools-for-knowledge-and-learning-a-guide-for-development-and-humanitarian-organisations/,"Ramalingham, Ben (2006) Tools for knowledge and learning: A guide for development and humanitarian organizations. Website Available at: https://odi.org/en/publications/tools-for-knowledge-and-learning-a-guide-for-development-and-humanitarian-organisations/",,Full-reading-list-leadership-management-in-health-humanitarianism.csv
w01-u-010,1,"Critiques, quality initiatives and competency frameworks",uni_provided_core,Quality Initiatives,university_course_reading_list,Website,Professionalising the humanitarian sector: A scoping study,"Walker, Peter",2010,,2010,,,,,,https://www.alnap.org/system/files/content/resource/files/main/professionalising-the-humanitarian-sector_0.pdf,"Walker, Peter (2010) Professionalising the humanitarian sector: A scoping study. Website Available at: https://www.alnap.org/system/files/content/resource/files/main/professionalising-the-humanitarian-sector_0.pdf",,Full-reading-list-leadership-management-in-health-humanitarianism.csv
